c1,c2,stim,nparses,ratingcmp,ratingC1,ratingC2,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
snow,banks,snowbanks,1,59.107143,91.259262,40.777779,6.89,-0.373488544,-0.392107012,1
river,banks,riverbanks,1,76.099998,92.033333,54.066666,9.63,-0.346074991,-0.378024861,1
cross,bar,crossbar,1,66.692307,58.025642,76.384613,8.59,-0.356676664,-0.378338393,1
sand,bar,sandbar,1,54.729729,77.729729,43.729729,7.33,-0.364368351,-0.395126906,1
side,bar,sidebar,1,73.826088,80.869568,63.47826,10.2,-0.311252275,-0.34153833,1
handle,bar,handlebar,1,75.769234,81.358971,76.974358,10.2,-0.311252275,-0.34153833,1
birch,bark,birchbark,1,76.92308,87.384613,81.269234,8.2,-0.368110014,-0.390390487,1
stringy,bark,stringybark,1,53.083332,65.125,77.916664,8.22,-0.240416714,-0.333869389,1
smooth,bark,smoothbark,1,70.800003,78.033333,81.166664,8.2,-0.368110014,-0.390390487,1
cow,barn,cowbarn,1,77.758621,78.103447,86.413795,6.89,-0.373488544,-0.392107012,1
hand,barrow,handbarrow,1,60.774193,67.580643,56.741936,7.33,-0.364368351,-0.395126906,1
wheel,barrow,wheelbarrow,1,62.174999,81.625,58.075001,8.6,-0.36915888,-0.394313761,1
wheel,barrows,wheelbarrows,1,58.892857,83.464287,54.357143,8.6,-0.36915888,-0.394313761,1
side,bars,sidebars,1,77.111115,78.555557,57.259258,10.2,-0.311252275,-0.34153833,1
cross,bars,crossbars,1,67.064514,72.354836,82.645164,8.59,-0.356676664,-0.378338393,1
handle,bars,handlebars,1,85.26667,84.699997,78.800003,10.2,-0.311252275,-0.34153833,1
sand,bars,sandbars,1,62.700001,78.866669,37.700001,7.33,-0.364368351,-0.395126906,1
data,base,database,1,74.678574,91,67.60714,11.5,0.204263778,0.153605767,1
fire,base,firebase,1,54.560001,65.791664,60.583332,10.2,-0.311252275,-0.34153833,1
